Lead Number,Lead Origin,Lead Source,ToBeConverted,TotalVisits,Total Time Spent on Website,Last Activity,Lead Quality,Last Notable Activity
660737,API,Olark Chat,0,0,0,Page Visited on Website,Low in Relevance,Modified
660728,API,Organic Search,0,5,674,Email Opened,,Email Opened
660727,Landing Page Submission,Direct Traffic,1,2,1532,Email Opened,Might be,Email Opened
660719,Landing Page Submission,Direct Traffic,0,1,305,Unreachable,Not Sure,Modified
660681,Landing Page Submission,Google,1,2,1428,Converted to Lead,Might be,Modified
660680,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
660673,Landing Page Submission,Google,1,2,1640,Email Opened,Low in Relevance,Modified
660664,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
660624,Landing Page Submission,Direct Traffic,0,2,71,Email Opened,,Email Opened
660616,API,Google,0,4,58,Email Opened,,Email Opened
660608,Landing Page Submission,Organic Search,1,8,1351,Email Opened,Might be,Email Opened
660570,Landing Page Submission,Direct Traffic,1,8,1343,Page Visited on Website,,Page Visited on Website
660562,API,Organic Search,1,11,1538,Email Opened,Might be,Modified
660558,Landing Page Submission,Organic Search,0,5,170,Email Opened,,Email Opened
660553,Landing Page Submission,Direct Traffic,0,1,481,Email Bounced,,Email Bounced
660547,API,Organic Search,1,6,1012,Email Opened,Might be,Email Opened
660540,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
660534,API,Referral Sites,0,6,973,Email Link Clicked,Might be,Modified
660522,Landing Page Submission,Google,1,6,1688,Page Visited on Website,,Page Visited on Website
660509,API,Organic Search,0,3,98,Page Visited on Website,Worst,Modified
660479,Landing Page Submission,Google,0,1,233,Unreachable,Not Sure,Modified
660478,API,Google,0,4,377,Page Visited on Website,Worst,Modified
660471,Landing Page Submission,Google,1,1,1013,Converted to Lead,Low in Relevance,Modified
660461,Landing Page Submission,Google,0,4,771,Email Link Clicked,Not Sure,Email Link Clicked
660458,API,Google,1,6,1137,Email Opened,High in Relevance,Email Opened
660447,Landing Page Submission,Google,1,3,1068,Form Submitted on Website,Not Sure,Modified
660432,Landing Page Submission,Organic Search,1,4,1000,Email Opened,Low in Relevance,Email Opened
660424,Landing Page Submission,Google,1,6,1315,Email Opened,High in Relevance,Email Opened
660423,Landing Page Submission,Direct Traffic,0,5,182,Email Opened,,Email Opened
660410,API,Google,1,3,78,Unreachable,High in Relevance,Unreachable
660402,Landing Page Submission,Direct Traffic,1,7,1174,Email Opened,Might be,Email Opened
660374,API,Google,0,3,88,Email Opened,Not Sure,Modified
660361,API,Referral Sites,0,4,223,Page Visited on Website,Low in Relevance,Modified
660339,API,Organic Search,0,3,74,Email Opened,,Modified
660333,Landing Page Submission,Organic Search,1,4,16,Page Visited on Website,Might be,Modified
660321,API,Referral Sites,1,3,98,Email Opened,High in Relevance,Modified
660312,Landing Page Submission,Google,0,4,1622,Unreachable,Might be,Modified
660267,Landing Page Submission,Google,1,5,563,Email Opened,Low in Relevance,Email Opened
660255,API,Google,0,2,310,Email Link Clicked,Not Sure,Email Link Clicked
660236,Landing Page Submission,Google,1,4,25,Email Opened,High in Relevance,Email Opened
660235,API,Direct Traffic,0,3,342,Email Opened,,Email Opened
660222,Landing Page Submission,Organic Search,0,7,38,Unsubscribed,Not Sure,Unsubscribed
660215,API,Google,0,5,199,Email Opened,,Email Opened
660203,Landing Page Submission,Google,0,5,222,Email Opened,,Email Opened
660194,Landing Page Submission,Direct Traffic,0,6,275,Email Opened,,Email Opened
660180,Landing Page Submission,Google,0,4,287,Email Opened,Might be,Email Opened
660174,Landing Page Submission,Direct Traffic,0,2,547,Email Opened,High in Relevance,Email Opened
660153,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
660149,API,Google,0,6,1225,Page Visited on Website,Worst,Modified
660128,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
660087,API,Olark Chat,1,0,0,Email Opened,Low in Relevance,Modified
660070,Landing Page Submission,Google,0,5,160,Email Opened,,Email Opened
660069,Landing Page Submission,Organic Search,0,6,394,Unreachable,Might be,Modified
660050,API,Google,0,6,286,Olark Chat Conversation,,Modified
660048,API,Organic Search,0,7,96,Email Opened,,Email Opened
660030,API,Organic Search,0,2,12,Email Opened,,Email Opened
659998,Landing Page Submission,Referral Sites,1,13,436,Form Submitted on Website,Low in Relevance,Modified
659963,API,Referral Sites,1,8,903,Page Visited on Website,High in Relevance,Page Visited on Website
659942,Landing Page Submission,Organic Search,0,17,409,Email Opened,,Modified
659937,Landing Page Submission,Referral Sites,0,11,685,Email Opened,Not Sure,Email Opened
659931,API,Google,0,4,213,Form Submitted on Website,Not Sure,Modified
659925,API,Olark Chat,0,0,0,Email Opened,,Email Opened
659918,API,Organic Search,1,7,1468,Page Visited on Website,High in Relevance,Modified
659896,API,Olark Chat,0,0,0,Email Link Clicked,,Modified
659889,Landing Page Submission,Direct Traffic,1,4,1435,Email Opened,Might be,Email Opened
659875,Landing Page Submission,Google,1,1,157,Converted to Lead,Might be,Modified
659853,API,Google,1,3,885,Had a Phone Conversation,High in Relevance,Had a Phone Conversation
659849,API,Olark Chat,1,0,0,Email Opened,Low in Relevance,Modified
659833,API,Olark Chat,0,0,0,View in browser link Clicked,Low in Relevance,Modified
659830,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
659819,Landing Page Submission,Direct Traffic,0,1,1710,Converted to Lead,Worst,Modified
659820,Landing Page Submission,Direct Traffic,0,4,219,Email Opened,,Email Opened
659806,Landing Page Submission,Referral Sites,0,3,111,Email Bounced,Not Sure,Modified
659784,API,Organic Search,0,6,224,Page Visited on Website,Not Sure,Modified
659782,Landing Page Submission,Direct Traffic,0,5,224,Page Visited on Website,,Page Visited on Website
659779,Landing Page Submission,Direct Traffic,1,2,1071,Email Opened,Not Sure,Email Opened
659727,Landing Page Submission,Google,1,6,595,Email Opened,Low in Relevance,Email Opened
659722,Lead Add Form,Welingak Website,1,,1096,,,Modified
659720,API,Referral Sites,0,4,520,Email Opened,,Email Opened
659710,Lead Add Form,Reference,1,,705,,Low in Relevance,Modified
659708,API,Google,0,2,393,Email Opened,Not Sure,Email Opened
659705,Lead Add Form,Welingak Website,1,,346,,,Modified
659704,API,Olark Chat,1,0,0,Email Link Clicked,Might be,Email Link Clicked
659700,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
659696,Landing Page Submission,Google,1,3,1136,Page Visited on Website,Might be,Modified
659685,API,Referral Sites,0,3,335,Email Opened,,Modified
659676,API,Referral Sites,0,4,75,Email Opened,,Email Opened
659644,Landing Page Submission,Direct Traffic,0,6,97,Email Opened,,Email Opened
659631,Lead Add Form,Reference,1,,1007,,High in Relevance,Modified
659630,Landing Page Submission,Organic Search,0,2,1085,Converted to Lead,,Modified
659614,API,Organic Search,0,3,214,Page Visited on Website,,Modified
659607,API,Olark Chat,1,6,1158,Email Opened,,Email Opened
659600,Landing Page Submission,Google,0,4,101,Email Opened,,Email Opened
659582,Landing Page Submission,Google,0,9,838,Email Opened,,Email Opened
659567,Landing Page Submission,Direct Traffic,0,3,536,Unreachable,Not Sure,Modified
659562,Landing Page Submission,Direct Traffic,0,4,161,Unreachable,Not Sure,Unreachable
659555,Landing Page Submission,Google,0,2,511,Form Submitted on Website,,Modified
659545,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
659523,API,Google,1,5,1110,Olark Chat Conversation,Might be,Modified
659507,Landing Page Submission,Direct Traffic,1,5,1563,Email Opened,High in Relevance,Email Opened
659492,API,Referral Sites,0,7,1633,Converted to Lead,,Modified
659480,API,Olark Chat,1,0,0,Email Opened,,Modified
659474,Landing Page Submission,Google,0,12,809,Unreachable,,Modified
659469,Landing Page Submission,Direct Traffic,0,2,638,Page Visited on Website,,Modified
659463,API,Google,1,5,1196,Page Visited on Website,,Modified
659447,Landing Page Submission,Organic Search,0,6,1485,Email Opened,,Email Opened
659438,API,Google,0,9,125,Page Visited on Website,,Modified
659437,API,Google,1,3,165,Olark Chat Conversation,,Modified
659411,Landing Page Submission,Google,0,6,398,Olark Chat Conversation,,Olark Chat Conversation
659407,API,Organic Search,0,3,570,Converted to Lead,,Modified
659395,Landing Page Submission,Organic Search,1,6,895,Email Opened,Might be,Email Opened
659371,Landing Page Submission,Google,1,4,1190,Email Opened,Might be,Email Opened
659369,Lead Add Form,Reference,1,0,0,Email Link Clicked,High in Relevance,Email Link Clicked
659366,API,Direct Traffic,0,5,1566,Converted to Lead,,Modified
659364,API,Google,1,5,727,Email Opened,High in Relevance,Email Opened
659357,Landing Page Submission,Google,0,8,652,Unreachable,,Modified
659345,API,Organic Search,0,4,1248,Email Opened,,Email Opened
659334,API,Google,0,2,767,Email Opened,Worst,Modified
659293,API,Referral Sites,0,10,275,Page Visited on Website,,Page Visited on Website
659287,API,Organic Search,0,3,273,Converted to Lead,,Modified
659283,Lead Add Form,Reference,1,,1111,,Low in Relevance,Modified
659281,Landing Page Submission,Google,0,8,277,Email Opened,,Email Opened
659263,API,Organic Search,1,3,1207,Olark Chat Conversation,,Modified
659248,API,Google,0,2,39,Converted to Lead,,Modified
659244,Landing Page Submission,Google,0,4,1638,Email Opened,Not Sure,Email Opened
659241,API,Referral Sites,0,16,53,Olark Chat Conversation,,Modified
659238,Landing Page Submission,Direct Traffic,0,1,127,Converted to Lead,,Modified
659221,Landing Page Submission,Organic Search,0,5,100,Page Visited on Website,,Modified
659217,Landing Page Submission,Google,0,4,323,Unsubscribed,,Unsubscribed
659203,API,Google,1,2,160,Olark Chat Conversation,,Modified
659191,Lead Add Form,Reference,1,0,0,Email Opened,High in Relevance,Modified
659182,API,Google,0,1,263,Converted to Lead,Not Sure,Modified
659170,API,Google,0,2,1218,Olark Chat Conversation,,Modified
659158,Lead Add Form,Reference,1,,986,,High in Relevance,Modified
659153,Lead Add Form,Welingak Website,1,,889,,,Modified
659146,Landing Page Submission,Google,1,5,1091,Unreachable,High in Relevance,Unreachable
659142,Landing Page Submission,Direct Traffic,0,4,291,Olark Chat Conversation,,Modified
659141,Lead Add Form,Reference,1,0,0,Email Opened,High in Relevance,Modified
659138,API,Google,0,1,1759,Olark Chat Conversation,,Olark Chat Conversation
659132,Landing Page Submission,Referral Sites,0,7,41,Email Opened,,Email Opened
659123,Landing Page Submission,Google,0,5,386,Email Opened,,Modified
659117,API,Referral Sites,0,6,216,Page Visited on Website,,Page Visited on Website
659106,Landing Page Submission,Google,1,5,1603,Email Opened,High in Relevance,Email Opened
659094,Landing Page Submission,google,0,7,106,Page Visited on Website,,Modified
659079,API,Google,0,2,73,Unreachable,Not Sure,Modified
659076,API,Google,0,2,77,Converted to Lead,,Modified
659074,Landing Page Submission,Direct Traffic,0,3,718,Unreachable,,Modified
659069,Landing Page Submission,Google,0,5,432,Olark Chat Conversation,,Olark Chat Conversation
659057,Landing Page Submission,Google,0,5,232,Email Opened,Might be,Email Opened
659050,Landing Page Submission,Direct Traffic,0,2,702,Email Opened,,Email Opened
659038,Landing Page Submission,Organic Search,1,5,614,Unreachable,Low in Relevance,Unreachable
659036,Landing Page Submission,Direct Traffic,1,1,1808,Converted to Lead,,Modified
659016,Landing Page Submission,Direct Traffic,0,2,234,Email Bounced,Not Sure,Modified
659013,Landing Page Submission,Direct Traffic,0,3,245,Unreachable,Might be,Modified
